"","gender","age_group","education","familiarity","q"
"210","Male","Adults","college_educated","No",2.30769230769231
"211","Female","Adults","college_educated","No",2.07692307692308
"212","Male","Elderly","college_educated","Yes",2.76923076923077
"213","Female","Youths","college_educated","No",0.538461538461538
"214","Female","Youths","college_educated","No",0.538461538461538
"215","Male","Adults","college_educated","Yes",0.307692307692308
"216","Male","Adults","college_educated","No",0.615384615384615
"217","Male","Youths","college_educated","Yes",2.23076923076923
"218","Male","Adults","college_educated","Yes",1.92307692307692
"219","Male","Adults","college_educated","Yes",1.46153846153846
"220","Male","Adults","No_college","No",0.692307692307692
"221","Male","Youths","college_educated","No",0.538461538461538
"222","Male","Youths","college_educated","No",2.53846153846154
"223","Male","Youths","college_educated","No",0.538461538461538
"224","Male","Adults","college_educated","No",2.46153846153846
"225","Female","Adults","college_educated","No",0.615384615384615
"226","Male","Youths","college_educated","No",0.461538461538462
"227","Male","Youths","college_educated","No",1.07692307692308
"228","Female","Youths","college_educated","No",1.53846153846154
"229","Male","Adults","college_educated","Yes",3
"230","Male","Elderly","college_educated","No",1.61538461538462
"231","Female","Adults","college_educated","No",2.53846153846154
"232","Male","Adults","college_educated","No",1.30769230769231
"233","Male","Adults","college_educated","Yes",1.07692307692308
"234","Male","Youths","college_educated","No",1.61538461538462
"235","Male","Youths","college_educated","No",2.30769230769231
"236","Male","Youths","college_educated","No",2.30769230769231
"237","Male","Adults","college_educated","No",2.76923076923077
"238","Female","Adults","college_educated","Yes",1.76923076923077
"239","Male","Adults","college_educated","Yes",2.61538461538462
"240","Male","Adults","college_educated","No",0
"241","Male","Elderly","college_educated","Yes",1.30769230769231
"242","Female","Adults","college_educated","Yes",0.692307692307692
"243","Male","Elderly","college_educated","No",3.23076923076923
"244","Male","Adults","college_educated","No",1.53846153846154
"245","Male","Adults","college_educated","No",1.38461538461538
"246","Male","Adults","college_educated","Yes",1.53846153846154
"247","Female","Adults","college_educated","No",1
"248","Male","Elderly","college_educated","No",3.69230769230769
"249","Female","Youths","college_educated","No",2.46153846153846
"250","Female","Adults","college_educated","No",1.61538461538462
"251","Male","Adults","college_educated","No",0.538461538461538
"252","Male","Youths","college_educated","No",0.307692307692308
"253","Female","Youths","college_educated","No",2.61538461538462
"254","Male","Adults","college_educated","No",1.15384615384615
"255","Female","Youths","college_educated","No",3.69230769230769
"256","Male","Youths","college_educated","No",0.846153846153846
"257","Female","Youths","college_educated","No",2.23076923076923
"258","Male","Adults","college_educated","No",1.76923076923077
"259","Female","Youths","college_educated","No",1
"260","Male","Youths","college_educated","No",1.84615384615385
"261","Female","Elderly","college_educated","Yes",3.15384615384615
"262","Male","Elderly","college_educated","No",0.769230769230769
"263","Male","Elderly","college_educated","Yes",1.92307692307692
"264","Male","Elderly","college_educated","Yes",1.92307692307692
"265","Male","Adults","college_educated","No",0.461538461538462
"266","Female","Youths","college_educated","No",3.38461538461538
"267","Male","Adults","college_educated","No",2.61538461538462
"268","Male","Adults","college_educated","No",2.61538461538462
"269","Male","Adults","college_educated","No",1.15384615384615
"270","Male","Youths","college_educated","No",1.30769230769231
"271","Male","Youths","college_educated","No",0.461538461538462
"272","Female","Youths","college_educated","No",2.76923076923077
"273","Male","Adults","college_educated","No",0.307692307692308
"274","Male","Youths","college_educated","Yes",1.53846153846154
"275","Female","Youths","college_educated","Yes",0.923076923076923
"276","Female","Youths","college_educated","No",0.846153846153846
"277","Male","Youths","college_educated","No",1.84615384615385
"278","Male","Youths","college_educated","No",1.84615384615385
"279","Male","Adults","college_educated","No",2.15384615384615
"280","Female","Youths","college_educated","No",1.69230769230769
"281","Female","Youths","college_educated","No",1.07692307692308
"282","Female","Adults","college_educated","No",1.38461538461538
"283","Male","Youths","college_educated","No",1.46153846153846
"284","Male","Elderly","college_educated","Yes",0.692307692307692
"285","Female","Youths","college_educated","No",3.69230769230769
"286","Male","Adults","college_educated","No",1.30769230769231
"287","Male","Adults","college_educated","Yes",4
"288","Male","Youths","college_educated","No",0.538461538461538
"289","Male","Adults","college_educated","No",1.15384615384615
"290","Male","Youths","college_educated","No",1.76923076923077
"291","Male","Youths","college_educated","No",0.615384615384615
"292","Female","Youths","college_educated","No",0.615384615384615
"293","Female","Adults","college_educated","Yes",2.30769230769231
"294","Female","Youths","college_educated","Yes",1.76923076923077
"295","Female","Youths","college_educated","No",0.230769230769231
"296","Male","Youths","No_college","No",1.23076923076923
"297","Male","Adults","college_educated","Yes",1.38461538461538
"298","Male","Youths","college_educated","No",1.69230769230769
"299","Male","Adults","college_educated","No",1.84615384615385
"300","Male","Youths","college_educated","No",0.769230769230769
"301","Male","Adults","college_educated","No",0.615384615384615
"302","Male","Youths","college_educated","No",0.769230769230769
"303","Male","Adults","college_educated","No",0.769230769230769
"304","Female","Youths","college_educated","No",1.46153846153846
"305","Male","Adults","college_educated","No",2.69230769230769
"306","Male","Youths","college_educated","No",1.23076923076923
"307","Male","Youths","college_educated","Yes",1.46153846153846
"308","Male","Adults","college_educated","No",1.61538461538462
"309","Male","Adults","college_educated","No",3.23076923076923
"310","Male","Adults","college_educated","No",2.23076923076923
"311","Male","Youths","No_college","No",1.84615384615385
"312","Male","Elderly","college_educated","No",0.769230769230769
"313","Male","Elderly","college_educated","Yes",1.92307692307692
"314","Male","Adults","college_educated","No",1.23076923076923
"315","Male","Youths","college_educated","Yes",1.46153846153846
"316","Male","Elderly","college_educated","Yes",0.230769230769231
"317","Male","Elderly","college_educated","No",2.84615384615385
"318","Female","Youths","college_educated","No",2.15384615384615
"319","Female","Youths","college_educated","No",1.38461538461538
"320","Male","Adults","college_educated","No",0.923076923076923
"321","Male","Youths","college_educated","No",0.923076923076923
"322","Female","Youths","college_educated","No",1.23076923076923
"323","Female","Youths","college_educated","No",2.46153846153846
"324","Female","Youths","college_educated","No",2.46153846153846
"325","Male","Youths","college_educated","No",0.538461538461538
"326","Female","Elderly","college_educated","No",1.23076923076923
